book_id,genre
0,Science Fiction
0,Fiction
0,Humor
0,Fantasy
0,Comedy
0,Classics
0,Science Fiction Fantasy
1,Fiction
1,Historical Fiction
1,Mystery
1,Classics
1,Historical
1,Literature
1,Italian Literature
2,Historical Fiction
2,Fiction
2,Fantasy
2,Historical
2,Classics
2,Adventure
2,Prehistoric
3,Horror
3,Fiction
3,Thriller
3,Science Fiction
3,Fantasy
3,Paranormal
3,Suspense
4,Science
4,Nonfiction
4,Physics
4,Astronomy
4,History
4,Space
4,Philosophy
5,Fiction
5,Thriller
5,Mystery
5,Suspense
5,Espionage
5,Adventure
5,Action
6,Fiction
6,Humor
6,Literature
6,Comedy
6,Novels
6,Classics
6,American
7,Fiction
7,Science Fiction
7,Thriller
7,Adventure
7,Horror
7,Mystery
7,Suspense
8,Mystery
8,Historical Fiction
8,Fiction
8,Historical
8,Crime
8,Historical Mystery
8,Medieval
9,Fantasy
9,Childrens
9,Fiction
9,Young Adult
9,Classics
9,Middle Grade
9,Juvenile
10,Fiction
10,Classics
10,Romance
10,Southern
10,Contemporary
10,Literary Fiction
10,Literature
11,History
11,Nonfiction
11,Politics
11,American History
11,Historical
11,Social Justice
11,Classics
12,Fiction
12,Africa
12,Classics
12,Literature
12,Novels
12,South Africa
12,Historical Fiction
13,Fiction
13,Magical Realism
13,Classics
13,India
13,Historical Fiction
13,Fantasy
13,Literature
14,Music
14,Biography
14,Nonfiction
14,Biography Memoir
14,History
14,Memoir
14,Rock N Roll
15,Mystery
15,Historical Fiction
15,Fiction
15,Historical
15,Crime
15,Historical Mystery
15,Medieval
16,Fantasy
16,Science Fiction
16,Fiction
16,Historical Fiction
16,Science Fiction Fantasy
16,Speculative Fiction
16,Audiobook
17,Young Adult
17,Fiction
17,Historical Fiction
17,Classics
17,Childrens
17,Middle Grade
17,Realistic Fiction
18,Fantasy
18,Fiction
18,Classics
18,High Fantasy
18,Epic Fantasy
18,Short Stories
18,Science Fiction Fantasy
19,Fantasy
19,Science Fiction
19,Fiction
19,Science Fiction Fantasy
19,Speculative Fiction
19,Novels
19,Classics
20,Mystery
20,Fiction
20,Mystery Thriller
20,Crime
20,Westerns
20,Audiobook
20,Detective
21,Psychology
21,Self Help
21,Nonfiction
21,Mental Health
21,Health
21,Personal Development
21,Science
22,Fantasy
22,Young Adult
22,Fiction
22,Childrens
22,Middle Grade
22,Magic
22,Adventure
23,Fiction
23,Classics
23,Literary Fiction
23,Novels
23,Literature
23,Contemporary
23,American
24,Childrens
24,Fiction
24,Fantasy
24,Classics
24,Middle Grade
24,Humor
24,Young Adult
25,Fiction
25,South Africa
25,Africa
25,Historical Fiction
25,Nobel Prize
25,African Literature
25,Literature
26,Fiction
26,Classics
26,Literature
26,Historical Fiction
26,Novels
26,Religion
26,Literary Fiction
27,History
27,Biography
27,Nonfiction
27,Russia
27,Russian History
27,Biography Memoir
27,European History
28,Fiction
28,Historical Fiction
28,Thriller
28,Mystery
28,Espionage
28,Suspense
28,War
29,Horror
29,Vampires
29,Fantasy
29,Fiction
29,Paranormal
29,Science Fiction
29,Urban Fantasy
30,Historical Fiction
30,Fiction
30,Ireland
30,Fantasy
30,Historical
30,Irish Literature
30,Medieval
31,Mystery
31,Fiction
31,Crime
31,Mystery Thriller
31,Thriller
31,British Literature
31,Suspense
32,Fantasy
32,Science Fiction
32,Fiction
32,Science Fiction Fantasy
32,High Fantasy
32,Romance
32,Sci Fi Fantasy
33,Fantasy
33,Fiction
33,Horror
33,Magical Realism
33,Mystery
33,Urban Fantasy
33,Novels
34,Historical Fiction
34,Fiction
34,Historical
34,Tudor Period
34,British Literature
34,Romance
34,16th Century
35,Fiction
35,Historical Fiction
35,Classics
35,Nobel Prize
35,Historical
35,Literary Fiction
35,Literature
36,Mystery
36,Historical Fiction
36,Fiction
36,Historical Mystery
36,Historical
36,Victorian
36,Mystery Thriller
37,Fiction
37,Horror
37,Fantasy
37,Mystery
37,Romance
37,Supernatural
37,Ghosts
38,Nonfiction
38,Biography
38,Memoir
38,True Crime
38,Crime
38,Audiobook
38,Autobiography
39,Picture Books
39,Childrens
39,Fantasy
39,Fiction
39,Dragons
39,Fairy Tales
39,Classics
40,Humor
40,Nonfiction
40,Fashion
40,Comedy
40,Self Help
40,Pop Culture
40,History
41,Mystery
41,Fiction
41,Thriller
41,Crime
41,Mystery Thriller
41,Horses
41,British Literature
42,Young Adult
42,Fiction
